City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,jamestown,42.097,-79.2353,34.41,95,100,2.73,US,1740542993
83,bandarbeyla,9.4942,50.8122,76.78,81,21,10.51,SO,1740543144
84,al quwayrah,29.8004,35.3116,34.48,53,97,3.49,JO,1740543146
85,puerto ayora,-0.7393,-90.3518,78.55,93,20,3.09,EC,1740543148
86,nkhata bay,-11.6066,34.2907,73.69,79,100,7.9,MW,1740543150
87,florence,43.7667,11.25,54.21,89,75,5.75,IT,1740543152
88,masterton,-40.9597,175.6575,60.37,97,99,4.83,NZ,1740543154
89,arkhangel'sk,64.5401,40.5433,21.31,93,0,4.47,RU,1740543156
90,al ain city,24.1917,55.7606,58.62,72,0,4.61,AE,1740543158
91,victoria,22.2855,114.1577,68.32,76,99,8.01,HK,1740542908
92,bredasdorp,-34.5322,20.0403,64.02,87,55,10.67,ZA,1740543162
93,sola,-13.8833,167.55,81.79,77,100,18.99,VU,1740543165
94,bicaz,46.9167,26.0667,27.21,93,8,4.45,RO,1740543167
95,leo,11.1,-2.1,67.35,18,2,8.86,BF,1740543169
96,margaret river,-33.95,115.0667,70.43,67,98,12.06,AU,1740543171
97,mount gambier,-37.8333,140.7667,74.41,42,100,9.89,AU,1740543173
98,nadi,-17.8,177.4167,87.8,66,75,10.36,FJ,1740543175
99,lampasas,31.2168,-98.2336,66.29,66,0,16.44,US,1740543177
100,motygino,58.1831,94.7592,21.52,92,100,13.0,RU,1740543179
101,langepas,61.2544,75.2124,21.07,96,100,10.76,RU,1740543181
102,usinsk,65.9939,57.5281,28.74,98,100,7.58,RU,1740543184
103,nova sintra,14.8667,-24.7167,72.21,71,0,17.81,CV,1740543186
104,klyuchi,52.2667,79.1667,17.44,81,23,8.16,RU,1740543188
105,aasiaat,68.7098,-52.8699,7.34,68,100,25.39,GL,1740543190
106,piti village,13.4626,144.6933,85.08,69,40,21.85,GU,1740543192
107,gadzhiyevo,69.2551,33.3362,34.77,98,100,14.38,RU,1740543194
108,nili,33.7218,66.1302,30.92,86,20,1.99,AF,1740543196
109,banda aceh,5.5577,95.3222,84.02,73,90,9.84,ID,1740543198
110,cidreira,-30.1811,-50.2056,76.98,93,24,11.65,BR,1740543200
111,longido,-2.7333,36.6833,62.62,80,85,8.52,TZ,1740543202
112,bubaque,11.2833,-15.8333,76.98,66,8,8.86,GW,1740543204
113,olonkinbyen,70.9221,-8.7187,26.29,92,100,22.19,SJ,1740543206
114,puerto baquerizo moreno,-0.9,-89.6,79.48,81,34,4.94,EC,1740543007
115,la passe,45.5549,-0.8967,46.9,86,82,6.64,FR,1740543211
116,hamilton,39.1834,-84.5333,46.44,80,0,4.0,US,1740543213
117,noumea,-22.2763,166.4572,82.0,99,82,17.65,NC,1740543215
118,carnarvon,-24.8667,113.6333,96.33,44,100,7.31,AU,1740543217
119,vorkuta,67.5,64.0,25.32,98,100,5.17,RU,1740543219
120,cockburn town,21.4612,-71.1419,77.68,79,16,1.48,TC,1740543015
121,vilyuchinsk,52.9306,158.4028,28.67,54,7,6.8,RU,1740543225
122,rio grande,-32.035,-52.0986,78.53,81,31,9.31,BR,1740543228
123,coahuayana de hidalgo,18.7,-103.6583,73.58,93,54,2.46,MX,1740543230
124,viseu de jos,47.7256,24.3661,28.8,79,58,3.62,RO,1740543234
125,camana,-16.6228,-72.7111,73.26,91,100,2.51,PE,1740543236
126,lebu,-37.6167,-73.65,57.9,89,5,15.93,CL,1740543238
127,kavaratti,10.5669,72.642,81.97,72,46,8.21,IN,1740543240
128,emerald,-23.5333,148.1667,94.98,5,0,19.1,AU,1740543242
129,talnakh,69.4865,88.3972,-19.7,81,6,2.3,RU,1740543244
130,port mathurin,-19.6833,63.4167,81.73,81,98,19.51,MU,1740543247
131,prieska,-29.6641,22.7474,70.54,64,0,13.47,ZA,1740543249
132,haiku-pauwela,20.9219,-156.3051,75.22,74,40,18.99,US,1740543251
133,minas de matahambre,22.5887,-83.9447,66.94,81,63,4.63,CU,1740543253
134,opelousas,30.5335,-92.0815,50.92,93,0,0.0,US,1740543119
135,gaspe,48.8334,-64.4819,29.48,97,100,0.92,CA,1740543098
136,omdurman,15.6445,32.4777,74.93,19,72,15.43,SD,1740543259
137,ust-nera,64.5667,143.2,-19.21,93,69,1.74,RU,1740543261
138,fort st. john,56.2499,-120.8529,37.29,70,40,18.41,CA,1740543248
139,port-gentil,-0.7193,8.7815,80.15,85,77,7.36,GA,1740543268
140,kone,-21.0595,164.8658,84.09,70,98,6.06,NC,1740543006
141,karratha,-20.7377,116.8463,99.77,37,17,8.88,AU,1740543272
142,jumla,29.2747,82.1838,51.62,18,87,5.17,NP,1740543274
143,quellon,-43.1167,-73.6167,51.66,89,86,5.41,CL,1740543276
144,chonchi,-42.6128,-73.8092,56.12,99,76,1.48,CL,1740543278
145,zhalantun,48.0,122.7167,26.22,64,39,11.21,CN,1740543280
146,tura,25.5198,90.2201,81.09,22,0,1.57,IN,1740543283
147,colonia,50.9333,6.95,46.96,92,75,12.66,DE,1740543087
148,roma,43.2128,-75.4557,38.68,99,100,6.91,US,1740543287
149,muroto-misakicho,33.2833,134.15,52.5,59,3,20.13,JP,1740543289
150,fale old settlement,-9.3852,-171.2468,81.68,79,97,14.03,TK,1740543291
151,kangiwa,12.5521,3.8187,69.53,15,19,11.12,NG,1740543293
152,tralee,52.2704,-9.7026,43.12,84,15,14.56,IE,1740543295
153,kirensk,57.7853,108.1119,18.86,90,100,15.03,RU,1740543297
154,kodiak,57.79,-152.4072,36.91,100,100,9.22,US,1740543299
155,ilulissat,69.2167,-51.1,14.02,52,40,32.21,GL,1740543301
156,lata,40.1629,-8.3327,40.05,95,32,2.8,PT,1740543303
157,makurazaki,31.2667,130.3167,52.41,49,100,15.28,JP,1740543306
158,paka,4.6374,103.4368,81.99,78,100,8.25,MY,1740543310
159,ancud,-41.8697,-73.8203,53.22,92,20,3.98,CL,1740543256
160,mayna,54.1135,47.6231,10.0,97,98,8.86,RU,1740543314
161,vorgashor,67.5833,63.95,24.22,98,100,4.27,RU,1740543316
162,taroa,8.7058,171.2275,80.74,84,100,16.62,MH,1740543320
